
Week,SPY Price,VIX,Weekly Return %,LEAPS Value,LEAPS Change,LEAPS Delta,LEAPS Intrinsic,LEAPS Extrinsic,LEAPS Stock Impact,LEAPS Theta Decay,Roll Cost,Call Premium (Open),Call Value (Open),Expired Call Premium,Expired Call Final Value,Call P&L,Weekly P&L,Cash,Account Value,Regime,Action
31,635.13,14.3,0.09,9763.87,10.36,0.8472,8113.20,1750.30,46.72,-36.36,,716.00,716.00,708.00,113.20,594.80,605.16,13850.41,22898.28,Low VIX Rising, Below MA,Sell 634C (-0.2%)
32,608.37,17.3,-4.21,7460.63,-2303.24,0.7977,5437.39,1713.94,-2266.88,-36.36,,901.00,901.00,716.00,0.00,716.00,-1587.24,14751.41,21311.04,Normal VIX Rising, Below MA,Sell 607C (-0.2%)
33,608.93,17.4,0.09,7468.60,7.97,0.8003,5492.96,1677.59,44.33,-36.36,,874.00,874.00,901.00,192.96,708.04,716.01,15432.45,22027.05,Normal VIX Rising, Below MA,Sell 608C (-0.2%)
34,607.57,16.4,-0.22,7323.26,-145.34,0.7931,5356.78,1641.23,-108.98,-36.36,,785.00,785.00,874.00,0.00,874.00,728.66,16217.45,22755.71,Normal VIX Rising, Below MA,Sell 607C (-0.1%)
35,600.47,21.2,-1.17,6723.76,-599.50,0.7527,4646.74,1604.88,-563.15,-36.36,,1138.00,1138.00,785.00,0.00,785.00,185.50,17355.45,22941.21,Normal VIX Rising, Below MA,Sell 599C (-0.2%)
36,608.20,17.0,1.29,7269.08,545.33,0.7967,5419.54,1568.52,581.68,-36.36,,871.00,871.00,1138.00,919.54,218.46,763.78,17306.91,23704.99,Normal VIX Rising, Below MA,Sell 607C (-0.2%)
37,592.30,17.2,-2.61,5966.67,-1302.42,0.7050,3830.33,1532.16,-1266.06,-36.36,,809.00,809.00,871.00,0.00,871.00,-431.42,18115.91,23273.57,Normal VIX Flat, Below MA,Sell 592C (-0.1%)
38,602.30,16.0,1.69,6634.76,668.10,0.7632,4829.54,1495.81,704.45,-36.36,,738.00,738.00,809.00,1029.54,-220.54,447.55,17824.36,23721.13,Normal VIX Flat, Below MA,Sell 602C (-0.0%)
39,613.66,16.6,1.89,7465.80,831.04,0.8090,5966.08,1459.45,867.40,-36.36,,723.00,723.00,738.00,1166.08,-428.08,402.96,17381.28,24124.09,Normal VIX Flat, Above MA,Sell 615C (+0.2%)
40,618.49,15.6,0.79,7820.17,354.36,0.8178,6449.03,1423.09,390.72,-36.36,,662.00,662.00,723.00,349.03,373.97,728.34,17694.26,24852.43,Normal VIX Falling, Above MA,Sell 620C (+0.2%)
41,634.49,13.0,2.59,9092.38,1272.21,0.8461,8049.06,1386.74,1308.57,-36.36,,525.00,525.00,662.00,1449.06,-787.06,485.15,16770.20,25337.58,Low VIX Falling, Above MA,Sell 636C (+0.2%)
42,638.85,13.2,0.69,9424.82,332.44,0.8549,8484.96,1350.38,368.80,-36.36,,522.00,522.00,525.00,284.96,240.04,572.49,17007.24,25910.06,Low VIX Falling, Above MA,Sell 641C (+0.3%)
43,613.21,13.8,-4.01,7196.68,-2228.14,0.8082,5921.25,1314.02,-2191.78,-36.36,,605.00,605.00,522.00,0.00,522.00,-1706.14,17612.24,24203.92,Low VIX Falling, Below MA,Sell 613C (-0.0%)
44,592.52,14.5,-3.37,5488.35,-1708.33,0.7063,3852.49,1277.67,-1671.98,-36.36,,621.00,621.00,605.00,0.00,605.00,-1103.33,18233.24,23100.59,Low VIX Falling, Below MA,Sell 593C (+0.1%)
45,599.91,14.2,1.25,5973.60,485.25,0.7495,4590.98,1241.31,521.61,-36.36,,606.00,606.00,621.00,690.98,-69.98,415.27,18148.26,23515.86,Low VIX Falling, Below MA,Sell 600C (+0.0%)
46,601.63,14.8,0.29,6066.29,92.68,0.7594,4763.16,1204.95,129.04,-36.36,,701.00,701.00,606.00,163.16,442.84,535.53,18686.10,24051.39,Low VIX Rising, Below MA,Sell 601C (-0.1%)
47,590.72,16.2,-1.81,8546.46,2480.17,0.8372,7072.40,1474.06,0.00,0.00,-3344.84,,,701.00,0.00,701.00,-163.67,15341.26,23887.72,Normal VIX Rising, Below MA,Rolled LEAPS DELTA to 520 (DTE=225)
48,580.01,15.4,-1.81,7604.02,-942.44,0.8168,6001.42,1428.20,-896.58,-45.86,,763.00,763.00,,,,-942.44,16104.26,22945.28,Normal VIX Rising, Below MA,Sell 579C (-0.2%)
49,566.60,17.4,-2.31,6462.31,-1141.71,0.7709,4659.84,1382.34,-1095.85,-45.86,,845.00,845.00,763.00,0.00,763.00,-378.71,16949.26,22566.58,Normal VIX Rising, Below MA,Sell 566C (-0.1%)
50,554.63,18.8,-2.11,8066.21,1603.89,0.8377,6662.62,1403.59,0.00,0.00,-2572.70,,,845.00,0.00,845.00,-123.81,14376.56,22442.77,Normal VIX Rising, Below MA,Rolled LEAPS DELTA to 488 (DTE=204)
51,518.50,20.3,-6.51,7629.64,-436.57,0.8382,6250.34,1379.30,0.00,0.00,-2637.45,,,,,,-3074.03,11739.11,19368.74,Normal VIX Rising, Below MA,Rolled LEAPS DELTA to 456 (DTE=197)
52,517.89,19.2,-0.12,7529.06,-100.58,0.8369,6188.82,1330.29,-51.57,-49.01,,973.00,973.00,,,,-100.58,12712.11,19268.17,Normal VIX Rising, Below MA,Sell 517C (-0.2%)
